,duration,end,pitch,start,velocity
2,,5.199999999999999,31,5.02,74
3,,5.239999999999998,33,5.119999999999999,74
4,,5.299999999999998,34,5.219999999999999,78
5,,5.6599999999999975,46,5.599999999999998,78
6,,5.6599999999999975,34,5.619999999999997,66
7,,5.759999999999997,45,5.6999999999999975,74
8,,5.799999999999997,46,5.759999999999997,82
9,,5.9999999999999964,45,5.939999999999997,70
10,,6.099999999999996,46,6.019999999999996,66
11,,6.279999999999996,45,6.219999999999996,66
12,,6.359999999999995,46,6.299999999999995,66
13,,6.539999999999995,45,6.479999999999995,70
14,,6.639999999999994,46,6.559999999999994,66
15,,6.839999999999994,45,6.779999999999994,70
16,,6.919999999999993,46,6.859999999999993,62
17,,7.259999999999993,44,7.039999999999993,82
18,,7.319999999999992,43,7.179999999999993,70
19,,7.419999999999991,41,7.279999999999992,82
20,,7.439999999999991,39,7.3999999999999915,78
21,,7.67999999999999,44,7.61999999999999,82
22,,7.65999999999999,32,7.61999999999999,82
23,,7.879999999999989,43,7.75999999999999,66
24,,7.939999999999989,41,7.85999999999999,70
25,,8.079999999999988,39,7.979999999999989,66
26,,8.119999999999987,38,8.059999999999988,66
0,,5.2,31,5.0200000000000005,74
1,,5.239999999999999,33,5.12,74
2,,5.299999999999999,34,5.22,78
3,,5.659999999999998,46,5.599999999999999,78
4,,5.659999999999998,34,5.619999999999998,66
5,,5.759999999999998,45,5.699999999999998,74
6,,5.799999999999998,46,5.759999999999998,82
7,,5.999999999999997,45,5.939999999999998,70
8,,6.099999999999997,46,6.019999999999997,66
9,,6.279999999999997,45,6.219999999999997,66
10,,6.359999999999996,46,6.299999999999996,66
11,,6.539999999999996,45,6.479999999999996,70
12,,6.639999999999995,46,6.559999999999995,66
13,,6.8399999999999945,45,6.779999999999995,70
14,,6.919999999999994,46,6.859999999999994,62
15,,7.259999999999994,44,7.039999999999994,82
16,,7.319999999999993,43,7.1799999999999935,70
17,,7.419999999999993,41,7.279999999999993,82
18,,7.439999999999992,39,7.399999999999993,78
19,,7.679999999999992,44,7.619999999999992,82
20,,7.659999999999992,32,7.619999999999992,82
21,,7.879999999999991,43,7.759999999999992,66
22,,7.939999999999991,41,7.859999999999991,70
23,,8.07999999999999,39,7.979999999999991,66
24,,8.119999999999989,38,8.05999999999999,66
25,,8.199999999999987,39,8.139999999999988,62
26,,8.259999999999986,41,8.199999999999987,74
27,,8.339999999999986,39,8.259999999999986,74
28,,8.459999999999985,38,8.359999999999985,74
29,,8.499999999999984,36,8.439999999999985,78
30,,8.619999999999983,35,8.499999999999984,78
31,,8.659999999999982,36,8.599999999999984,66
32,,8.77999999999998,38,8.699999999999982,78
33,,8.819999999999979,39,8.75999999999998,82
34,,8.879999999999978,41,8.819999999999979,74
35,,8.959999999999976,38,8.879999999999978,82
36,,8.999999999999975,39,8.939999999999976,82
37,,9.179999999999975,36,9.099999999999975,70
38,,9.259999999999973,39,9.199999999999974,78
39,,9.359999999999971,41,9.279999999999973,62
40,,9.39999999999997,38,9.339999999999971,74
41,,9.459999999999969,39,9.39999999999997,74
42,,9.559999999999969,41,9.459999999999969,70
43,,9.639999999999969,43,9.559999999999969,70
44,,9.699999999999967,41,9.639999999999969,74
45,,9.799999999999967,39,9.719999999999967,74
46,,9.879999999999967,38,9.799999999999967,74
47,,9.939999999999966,39,9.899999999999967,70
